Name,Country,Years active,Proven victims,Possible victims,Notes
Philadelphia poison ring,United States,1931–1938,114,Unconfirmed,"Gang of 16 that poisoned Italian immigrants with arsenic in order to collect their life insurance. The leaders, cousins Herman and Paul Petrillo, were executed in the electric chair in 1941 while the rest were given life sentences.[405]"
Delfina and María de Jesús González,Mexico,1955–1964,91+,Unconfirmed,"Two sisters who ran a brothel in Mexico, hired numerous prostitutes and murdered at least 80 of them after they were deemed useless during the span of 10 years. They also killed 11 men. Probably the work of four of the sisters, sentenced to 40 years in prison. Body count varies due to the combined work of the sisters being impossible to assign to them individually.[24]"
"Peng Miaoji, Ding Yunjia and Su Xiaoping",China,1998–1999,77,84,"Fleeing to Shaanxi, Jiangsu, Anhui, and Henan provinces and 21 provinces and cities 33 administrative villages; during 38 burglaries, killed 77 people, seriously injured three others.[406][407]"
David Avendaño Ballina and his followers,Mexico,1997–2007,70,70,Sex servant gang who robbed and then poisoned their clients; the leader Ballina was arrested in 2008.[408]
Angel Makers of Nagyrév,Hungary,1911–1929,50,300+,"26 women who poisoned their husbands (sometimes also their parents, lovers and children) with arsenic under the guidance of midwife Júlia Fazekas and her accomplice, Susi Oláh.[409]"
Long Zhimin and Yan Shuxia,China,1983–1985,48,48+,Shaanxi Province Wang Shou villagers Long Zhimin and Yan Shuxia in the home has killed 48 people.[410]
"Bian Kuang, Fu Xinyuan and Luo Lianshun",China,2001–2002,41,Unconfirmed,"Manufacturing 51 cases of murder, robbery, rape, killing 41 people. Bian Kuang personally killed 39 people.[411]"
Ivanova and Olga Tamarin,Russia,1909,40,130,"A mother and daughter who used accomplices to lure victims to their home; Tortured, murdered, and cannibalized at least 40 people before they were apprehended.[412]"
Ryno-Skachevsky gang,Russia,2006–2007,37,Unconfirmed,"Racist skinhead gang, led by Artur Ryno and Pavel Skachevsky, who killed people from non-European ethnicities or backgrounds; both sentenced to 10 years of penal labour.[413]"
Gang of Amazons,Russia,2003–2013,30,Unconfirmed,"Family of robbers and serial killers, led by the parents Inessa Tarverdiyeva and Roman Podkopaev.[414]"
"Dean Corll, David Owen Brooks and Elmer Wayne Henley",United States,1970–1973,28,29+,"Corll, known as ""The Candy Man"", killed at least 28 teenage boys and young men in Houston between 1970 and 1973. Corll was then shot and killed by one of the two teenage accomplices he recruited to assist him in the abductions of the victims on 8 August 1973. This accomplice, Elmer Wayne Henley, informed the police of the trio's murders the same day Corll was murdered.[415][416]"
Brabant killers,Belgium  France,1982–1985,28,40+,"Gang made up by at least three extremely violent robbers, none of whom was ever identified or apprehended. Their bloodlust increased dramatically in their last year of activity, when they began shooting passersby before a robbery, including children, for no seeming reason. Some have theorized links to Operation Gladio.[417]"
Adolfo Constanzo and Sara Aldrete,Mexico,1986–1989,25+,Unconfirmed,"""The Godparents of Matamoros"". Leader and second-in-command of a drug-smuggling cult that abducted men to perform human sacrifices.[418]"
Shankill Butchers,United Kingdom,1975–1982,23,23+,"Ulster Loyalist gang led by Lenny Murphy, who killed people in sectarian attacks.[419]"
Viktor Sayenko and Igor Suprunyuk,Ukraine,2007,21,Unconfirmed,"""The Dnepropetrovsk Maniacs"". A pair of 19-year-olds who, over the course of less than a month, attacked and murdered passersby while out on walks. They recorded videos of some of the murders, including one which subsequently leaked to the Internet.[420]"
Marcelo de Jesus Silva and his death squad,Brazil,?–2010,20+,Unconfirmed,"Brazilian man convicted of 20 counts of murder, robbery, drug trafficking and death squad. As he had 1.28m in height, he was nicknamed Chucky and Pigmeu. Murdered in 2010 by rivals traffickers."
Wang Zongfang and Wang Zongwei,China,1983,19,Unconfirmed,Killed soldiers using various arms in three provinces. Executed in 1983.[421]
Anísio Ferreira de Sousa and followers,Brazil,1989–1992,19,Unconfirmed,"Satanic ring that abducted, mutilated and sacrificed children in Altamira, Brazil. The leader, Ferreira de Sousa, was convicted to 77 years in prison for four murders and two attempted murders.[422]"
Ripper Crew,United States,1981–1982,18,Unconfirmed,"Abducted women, mostly prostitutes, then raped, tortured and killed them in Chicago, Illinois.[423]"
John Allen Muhammad and Lee Boyd Malvo,United States,2002,17,Unconfirmed,"Killed seven people from February to September 2002 and 10 in the Beltway sniper attacks of October 2002. Muhammad was executed in 2009, while Malvo received life imprisonment."
Vladyslav Volkovich and Volodymyr Kondratenko,Ukraine,1991–1997,16,20+,"""The Nighttime Killers"". Murdered homeless men and lone drivers with a variety of weapons.[424]"
Death Angels,United States,1973–1974,16,Unconfirmed,Four African-Americans who killed 16 white people and injured between eight and 10 in San Francisco (Zebra murders).[425]
Lainz Angels of Death,Austria,1983–1989,15,49–200+,"Known as the ""Lainz Angels of Death""; Waltraud Wagner, Irene Leidolf, Stephanija Mayer, and Maria Gruber were nurses at the Lainz General Hospital in Vienna who admitted to murdering 49 patients.[426]"
The Cleaners,Russia,2014–2015,15,15+,"Neo-Nazi gang, led by Pavel Voitov and Elena Lobacheva, who murdered alcoholic tramps and beggars; Voitov sentenced to life imprisonment and Lobacheva to 13 years in a penal colony.[427]"
Fred West and Rosemary West,United Kingdom,1967–1987,12,30,"Mainly targeted young women but were also found guilty of murdering two of their own daughters. Also found guilty of raping another daughter. Buried the victims around their house and local area of Gloucester. Shortly before he committed suicide in 1995, Fred West said there were more victims.[428] At one point he confessed to killing up to 30.[429]"
Briley Brothers,United States,1971–1979,12,Unconfirmed,"Three brothers and an accomplice responsible for 12 murders in the 1970s in Richmond, Virginia.[430]"
"John Justin Bunting, Robert Joe Wagner and James Spyridon Vlassakis",Australia,1992–1999,12,Unconfirmed,"The bodies of eight victims were found in plastic barrels in a disused bank vault in Snowtown, South Australia. Bunting was found guilty of 11 murders, Wagner pleaded guilty to three and was convicted of a further seven murders.[225]"
Mailoni Brothers,Zambia,2007–2013,12,Unconfirmed,Three brothers who killed at least 12 people from 2007 to 2013. Killed by Zambia Army Commandos in 2013.[431]
Leonard Lake and Charles Ng,United States,1982–1985,11,25,"Abducted women, used them as sex slaves, and then murdered them, together with any men, women, and children who got in their way. Lake committed suicide upon arrest, but Ng was later convicted of killing 11 people. Between 1982 and 1985, Lake and Ng were believed to have abducted and killed as many as 25 victims, as evidenced by human remains found on Lake's California ranch.[432]"
Shen Changyin and Shen Changping,China,1999–2004,11,Unconfirmed,Found guilty of the murders of 11 prostitutes.[433] They were executed in 2006.[citation needed]
Polatbay Berdaliyev and Abduseit Ormanov,Uzbekistan  Kazakhstan,2011–2012,11,Unconfirmed,"Raped, robbed and murdered women along desolate roads; both sentenced to life imprisonment in both countries.[434]"
Wolfgang Abel and Marco Furlan,Italy  West Germany  Netherlands,1977–1984,10,27,"The victims, seemingly chosen at random and killed by different methods, were found next to letters written in Italian, signed ""Ludwig"" and containing Nazi imagery, that gave a reason for why the murder had been committed. Abel and Furlan were arrested in Castiglione delle Stiviere while dousing a crowded discothèque with gasoline and sentenced in 1987 to 30 years in prison for all crimes (later reduced to 27).[435]"
Juan Carlos Hernández and Patricia Martínez,Mexico,2012–2018,10,20,"Known as the ""Monsters of Ecatepec""; couple who raped, murdered and cannibalized women.[436]"
Hillside Stranglers,United States,1977–1979,10,10,"Initially believed to be one person, two perpetrators were eventually discovered to be cousins Kenneth Bianchi and Angelo Buono Jr. Convicted of kidnapping, raping, torturing and murdering 10 women and girls ranging in age from 12 to 28."
Joshi-Abhyankar serial murderers,India,1976–1977,10,Unconfirmed,"Four Pune commercial art students (Rajendra Jakkal, Dilip Sutar, Shantaram Kanhoji Jagtap and Munawar Harun Shah) that broke into random people's homes and businesses and strangled them with a nylon rope. Executed by hanging in 1983.[437]"
Gerald and Charlene Gallego,United States,1978–1980,10,Unconfirmed,"Killed 10 victims in Sacramento, California. Gerald Gallego died of cancer before his death sentence could be carried out. Charlene Gallego was released July 1997.[438]"
Viña del Mar psychopaths,Chile,1980–1981,10,Unconfirmed,"Jorge Sagredo and Carlos Topp committed 10 murders and four rapes from 5 August 1980 to 1 November 1981 in the city of Viña del Mar. Executed by firing squad in 1985, they became the last people executed in Chile.[439]"
Yevgeny Nagorny and Sergei Stavitsky,Russia,1998,10,Unconfirmed,Killed clients with expensive cars in their autoshop in order to sell them; sentenced to life imprisonment.[440]
National Socialist Underground,Germany,2000–2007,10,Unconfirmed,"Neo-Nazi group who killed 10 ethnic Turks in the Bosphorus serial murders from 2000 to 2007. Most victims were small business owners killed in broad daylight with a gunshot to the face. Two of the suspects committed suicide and a third, Beate Zschäpe, was apprehended in 2011.[441]"
Song Jinghua and Yan Jinguang,China,2005–2007,9,Unconfirmed,"Robbed and killed women in Beijing out of revenge for Song's brother, who was previously executed for an unrelated crime.[442]"
Tadeusz Grzesik and the Bureaucrats Gang,Poland,1991–2007,8,20+,"Robbed and killed people in several Polish voivodeships, mainly owners of exchange offices.[443]"
Edgar Álvarez Cruz and Francisco Granados,Mexico,1993–2003,8–10,14+,"Kidnapped, drugged, raped and then killed women in cotton fields.[444]"
The Ciudad Juárez Rebels,Mexico,1995–1996,8,10–14,"Gang of serial killers, led by Sergio Armendáriz Diaz and Juan Contreras Jurado, who killed women in Ciudad Juárez; claimed to work for Abdul Latif Sharif.[445]"
The Manson Family cult killings,United States,1967–1969,7,7,"A California desert cult formed by Charles Manson in 1967, the 'Manson Family' committed a series of murders in name of promoting Manson's goal of causing a race war that he called Helter Skelter."
Christopher Worrell and James Miller,Australia,1976–1977,7,Unconfirmed,"Known as the ""Truro Murderers""; Worrell was killed in a car accident and the killings stopped. Later Miller was convicted of killing seven people in 1976–1977.[446]"
Kiss brothers and Zsolt István Pető,Hungary,2008–2009,6,Unconfirmed,"A series of murders perpetrated by three Neo-Nazis (with an accomplice István Csaba Csontos) against people of Roma ethnicity, occurring between July 2008 and August 2009. It is regarded as one of the worst crimes in the country's history after the war."
Ray and Faye Copeland,United States,1986–1989,5,12,Oldest couple ever sentenced to death in the United States at the ages of 75 and 69; convicted of killing five men; modus operandi was to hire unskilled drifters as farmhands and later kill them.[447]
Ian Brady and Myra Hindley,United Kingdom,1963–1965,5,12,"Responsible for the ""Moors murders"": they abducted, raped, tortured and murdered at least five children in the Manchester area before burying their victims on Saddleworth Moor as part of an experiment in ""existential experience"". The case attracted much media coverage long after the two were sentenced, especially in the United Kingdom, as Hindley sought release from prison from the 1980s but was refused and died in prison. Five victims were identified although Brady periodically claimed that there were up to twelve."
The Skin Hunters,Poland,2002 and earlier,5,40–1200+[448],"Hospital crew that killed patients in order to get bribes from nearby funeral homes. Two doctors and two paramedics were convicted for the murder of five patients, but the investigation is continuing, with over 40 remaining suspects. There are also suspicions that due to the heavy use of pancuronium bromide, scoline and potassium chloride in 1998-2001, the number of victims could be as high as 1200.[449][450]"
Loren Herzog and Wesley Shermantine,United States,1984–1999,4,19[451],"Known as the ""Speed Freak Killers""; California duo initially convicted of four murders from 1984 to 1999.[452]"
Raymond Fernandez and Martha Beck,United States,1947–1949,3,20,"Known as the ""Lonely Hearts Killers"", Fernandez and Beck extorted women Fernandez met through lonely hearts advertisements. Both were arrested in Michigan in 1949 for the murders of a woman and her two-year-old daughter, but Michigan authorities waived prosecution and extradited the pair to New York to face trial for a murder that occurred there because New York had the death penalty while Michigan did not. They were convicted of that murder and executed in 1951.[453]"
Beasts of Satan,Italy,1998–2004,3,18,"Cult members responsible for ritualistic murders, and are suspected in other cases, including suicides.[454]"
James Paster and Stephen McCoy,United States,1980–1981,3,5,"Texas duo convicted of three murders from 1980 to 1981, and both subsequently executed. Shortly before his execution Paster confessed to having committed two additional murders.[455][456][457]"
Amelia Sach and Annie Walters,United Kingdom,1900–1903,1[note 1],300+[458],"Sach and Walters, known as the ""Finchley baby farmers"", would take in unwanted babies from young women, collect a fee and then discreetly murder the children. They were executed in 1903, the only double hanging of women in British history."
Bruno Lüdke,Germany,1928–1943,51,86,"Mentally disabled, Lüdke was arrested after being discovered with a corpse. Police declared him insane and imprisoned him in a psychiatric hospital, where he died when he was experimented on. The only evidence tying him to the crimes was a confession that may have been physically coerced. He was never given a trial and he is generally[by whom?] considered innocent.[459]"
Gerald Stano,United States,1969–1980,22+,41,Confessed to killing 41 women in mostly Florida and New Jersey areas. Some controversy surrounds the case as he is believed by some to have been a serial confessor.[460]
"""Highway of Tears"" Killer",Canada,1980–present,18,83,"All the victims were young women and were last seen on Highway 16 in British Columbia between Prince George and Prince Rupert. If they were all victims of the same person, it would be one of the most prolific serial killers in Canada and one with the longest career in the world. Some of the murders have been linked to American criminal Bobby Jack Fowler, although he was in prison at the time others were committed.[461] [462]"
Orlando Sabino,Brazil,1966?–1971?,12,Unconfirmed,"Suspected of murdering 12 people in Minas Gerais and Goiás, as well as mutilating several animals; sentenced to 38 years imprisonment and died from a heart attack in 2013. There are many theories that he was actually framed by the Military Dictatorship in Brazil, who did the murders for political reasons.[463]"
Charles Quansah,Ghana,1993–2001,8,34,"Quansah, who had been in prison for rape twice, was held as a suspect in the deaths of 34 women across the country, including his girlfriend who was strangled in 2000, and eventually confessed to eight murders. He later denied the killings, claiming that the confessions had been extracted under torture, and that the police had also tried unsuccessfully to force him to implicate a number of politicians including former president Jerry Rawlings, his wife Nana Konadu Agyeman and an unidentified member of president John Kufuor's administration.[464][465]"
Ottis Toole,United States,1980–1983,7,100–125,"Initially convicted of three counts of murder, later pleading guilty to four more murders before dying in prison. A sometime accomplice of convicted serial killer Henry Lee Lucas, Toole admitted to—and retracted multiple times—over 100 counts of murder, rape, arson and cannibalism, and was the suspect in several other unsolved murders. In 2008, police announced that they had identified Toole as the likely murderer of Adam Walsh, and would be closing the case as a result.[466]"
Pedro Rosa da Conceição,Brazil,1904–1911,5,17,"Brazilian mass murderer who killed three people and wounded thirteen others on 22 April 1904. Killed his cellmate and a guard in 1911, and is said to have murdered a family of twelve people in an unspecified date and year. Died in 1919. The family murders are not verified."
Henry Lee Lucas,United States,1960–1983,3,600+,"Confessed to killing 3,000[467][468] and later 600 people but later recanted and is suspected of lying about a majority of the murders. He originally offered a list of 77 women from 19 different states, but as he confessed to more and more murders, the details became increasingly more bizarre. Some included dismemberment, necrophilia, even cannibalism. Lawmen linked Lucas and Ottis Toole to 81 murders only. Convicted of 11 murders.[469] The true number of murders committed by Lucas is unknown, but it is likely Lucas was not nearly as prolific a serial killer as he initially claimed to be, as most of his murder confessions were thoroughly discredited, and he himself claimed only one murder—that of his mother.[470][471][472]"
Wayne Williams,United States,1979–1981,2,24–31,"Believed to have perpetrated the Atlanta murders of 1979–1981. After being convicted of two murders and sentenced to life imprisonment, authorities closed 22 other unsolved murders, declaring Williams to have been the perpetrator. Williams has maintained his innocence and the case was reopened in 2005.[473]"
Kieran Patrick Kelly,United Kingdom,c. 1953–1983,2,31,"Irish vagrant who operated in London, England. He was convicted of two murders but confessed to many more, claiming he used a variety of methods from pushing people in front of trains to setting them on fire to poisoning them, and said he had been murdering for a period of some thirty years. In 2015 former detective George Platt published a book about Kelly claiming he could be responsible for 31 murders, prompting the chief of the Metropolitan Police Bernard Hogan Howe to promise a re-investigation into his crimes. However, in 2019 Irish journalist Robert Mullhern published a book raising serious questions about Platt's claims, concluding that Kelly was only responsible for 5 or 6 murders.[474][475]"
Allan Grimson,United Kingdom,1986–1998,2,22,"Homosexual Royal Navy sailor Grimson was convicted of the partially sexually-motivated murders of two other (non-homosexual) Royal Navy sailors while docked in Portsmouth on 12 December 1997 and 12 December 1998. Strongly suspected of being responsible for up to 20 other murders across different navy bases of the world, including in Gibraltar and New Zealand.[476] Also the prime suspect in the disappearance of fellow Royal Navy sailor Simon Parkes from Gibraltar in 1986, in part because he disappeared on 12 December, the date when Grimson was known to have always killed his victims on, and because Grimson was docked in Gibraltar with the navy at this time. Grimson's 2001 trial judge told him that he was ""a serial killer in nature if not in number"". His release from prison is imminent and he is currently being held in an open prison with day release provisions.[477]"
Billy Edwin Reid,United States,1989,2,21,"Reid was arrested in 2006 after a successful DNA profiling test proved his responsibility in the murders of two prostitutes in 1989 in Denver, Colorado.[478] It is thought he might have been responsible for many murders, some of which from the Denver Prostitute Killer - an unidentified single, or multiple serial killers responsible 17–27 murders between 1975 and 1995.[479]"
Joe Ball,United States,1937–1938,2,20,"Bootlegger and barman known as the ""Butcher of Elmendorf"", the ""Bluebeard of South Texas"", and ""the Alligator Man"" because of the alligator pit he had in the back of his bar and where he entertained clients by throwing live animals to the reptiles. Ball killed two barmaids but he shot himself fatally in the chest when police came to question him and was never arrested or interrogated. Yellow press and pulp magazines later exaggerated his exploits, claiming that he had killed up to 20 women and fed them to the alligators, but this was never proven and caused some of Ball's relatives to sue such publications. Police investigated about a dozen women that had worked at Ball's place and were missing at the time of his suicide; some were found alive in San Antonio, but others could not be accounted for.[480]"
Michael Stone,United Kingdom,1976-1996,2,4,"Stone, who was convicted of the 1996 double murder of Lin and Megan Russell, is suspected of two other murders.[481][482] His conviction is controversial and his legal team blame confirmed serial killer Levi Bellfield for the 1996 murders,[483] although members of Stone's family believe he is guilty of one of the additional murders.[484]"
Christopher Halliwell,United Kingdom,1985-2011,2,28-60,"Halliwell pleaded guilty in 2012 to abducting and murdering Sian O'Callaghan the previous year. He also confessed to the 2003 murder of Becky Godden-Edwards, but his confession was ruled inadmissible and he could not be convicted until 2016, when new evidence was found. Halliwell is a person of interest in 26 other murders, and a collection of articles of women's clothing which included some taken from his victims may link him to up to 60 murders."
Pam Hupp,United States,2011-2016,1-2,3,"Hupp is the prime suspect in the 2011 murder of cancer patient Betsy Faria, who was stabbed to death shortly after making Hupp the sole beneficiary of a sizable life insurance policy. Faria's husband Russ was wrongfully convicted of her murder but was exonerated in 2015 and mobile data placed Hupp at the scene of the crime. After Russ was released, Hupp murdered a man named Louis Gumpenberger in 2016 and attempted to frame Russ for hiring him to kill her, but was caught and sentenced to life imprisonment for the murder. Hupp is currently awaiting trial for the murder of Betsy Faria, and is also suspected of having murdered her mother Shirley Neumann for inheritance in 2013."
Clementine Barnabet,United States,1911,1,35,"Barnabet was convicted of one murder but confessed as a total of 35.[485] She was believed to have murdered entire families in their sleep, but doubt has been cast on the extent of her involvement.[486] Sentenced to life imprisonment but released in 1923."
Jessie McTavish,United Kingdom,1974,1[b],24,"British nurse who was convicted in 1974 of the murder of a patient with insulin after being inspired by the plot of A Man Called Ironside. She was released on appeal in 1975, despite three appeal court judges saying there was ample evidence to support the conviction, as the trial judge had inadvertently misled the jury in his final summary.[487] The appeal court judges said that it was an omission that ""a few words could have cured"".[487] Apart from the case prosecuted, another 23 cases were deemed suspicious by investigators.[488] Although acquitted, McTavish's case often is mentioned in lectures at medical colleges in Britain, and is cited in textbooks and academic papers about forensic science and medical malpractice.[489][490][491] McTavish, now known as Jessie Gordon, is believed to have been the inspiration for serial killer nurse Colin Norris.[487]"
Abdul Latif Sharif,Mexico,1995,1,18–20,"Egyptian chemist known as ""The Jackal of Ciudad Juárez"". After migrating to the United States in the 1970s, Sharif served 14 years in prison for several rapes but fled to Mexico when he was about to be deported to his home country. There, he was accused of up to 20 of the female homicides in Ciudad Juárez but was convicted of only one, to 30 years in prison, where he died of natural causes in 2006. As the high rate of female murders has continued to this day in Ciudad Juárez, it has been claimed that Sharif was used as a scapegoat by the Mexican police.[492]"
Daisuke Mori,Japan,2000 and earlier,1,11+,Nurse that was sentenced to life imprisonment for one murder but suspected of killing at least 10 others. He might have confessed to some of the murders in order to protect others.[493]
Bevan Spencer von Einem,Australia,1979–1983,1,10,"Arrested for three and convicted of one of ""The Family Murders"", where four teenagers and one young adult, all male, were drugged, kidnapped, raped and mutilated for several weeks before their bodies were abandoned in the countryside near Adelaide. Police believed that von Einem had several accomplices, none of whom was publicly identified or detained, and at the time of his trial it was widely reported that the murders had been committed by a group of four to 12 high-profile Australian men; von Einem himself claimed to be the victim of a conspiracy. He has also been considered a suspect in the disappearance of two girls near the Adelaide Oval in 1973 and the high-profile Beaumont children disappearance in 1966.[494]"
David Smith,United Kingdom,1988-1999,1,4,"Smith was jailed for life in 1999 for murdering sex worker Amanda Walker. It was widely reported that he had previously been acquitted of the almost identical murder of another sex worker, Sarah Crump, and he was linked to two more murders after his conviction.[495]"
Brian Field,United Kingdom,1968-1996,1,5,"Field raped and murdered 13-year-old Roy Tutill in 1968, but was not convicted until 2001, in the interim serving time in prison for sex offences against children. He is the prime suspect in the disappearance of Patrick Warren and David Spencer in 1996, and a person of interest in the 1985 disappearance of Lee Boxell and the murder of another child, Mark Billington, in 1984."
Samantha Lewthwaite,United Kingdom,2011–present,0–3,400,"Wife of one of the 7/7 London bombers, Germaine Lindsay, and one of the world's most wanted terrorist suspects. She is suspected of killing up to 400 people, including three people in an attack at a bar Mombasa in 2012 which she is suspected of carrying out with grenades. She is wanted by police for this attack and has also been linked to the 2013 Nairobi Westgate shopping mall attack, but she has not been apprehended and her current whereabouts are unknown.[496][497][498]"
David Moor,United Kingdom,1970s–1999,0,300[c],"British doctor who was prosecuted for the ""euthanasia"" of a patient. He was found not guilty, but then admitted in a press interview to having ""helped"" 300 people to die. Some press reports referred to him as ""Britain's greatest serial killer"" and ""Doctor Death"". If the 300 victims are accepted as murder victims, he would have killed more than the most prolific serial killer known to the world, fellow British doctor Harold Shipman.[499]"
Edgar Matobato,Philippines,1988–2013,0,Hundreds,Self-confessed hitman and serial killer claiming to have killed people as part of the Davao Death Squad; his claims' authenticity has been challenged.[500]
John Bodkin Adams,United Kingdom,1946–1956,0,163,Acquitted in a highly unusual trial in 1957 of murder but later found guilty of fraud. Archive evidence shows that he was almost certainly a killer but that his prosecution was sabotaged for political reasons.[501][failed verification]
The Man from the Train,United States,1898–1912,0,40–100+,"Murdered entire families in their sleep, arriving and departing by train. Existence (and probable but not proven identity) discovered more than 100 years after the murders, by analysis of contemporary records, showing a markedly common modus operandi for many previously unconnected murders.[502]"
Ivomoku Bakusuba,Ruanda-Urundi,1940s,0,67,"Confessed to killing 67 children by strangling them with a bedsheet. Committed suicide, ""probably in late 1940s or in early 1950s"". As information on this serial killer was only revealed by a police officer in 2018 during a conversation with a Brazilian writer, and there is no information on his conviction, the confirmation that he was a serial killer is debatable."
David Parker Ray,United States,1950–1999,0,60,"Torture-murderer possibly aided by numerous accomplices, including his girlfriend. Targeted victims in the Truth or Consequences, New Mexico, area. Convicted of attempted killing of three victims and is suspected of 60 murders, even though no bodies were ever found. Known as the ""Toybox Killer"" for the self-built mobile home he used in the rape, torture, and killing of women.[503]"
Howard Martin,United Kingdom,1977–2010,0,18+[d],"British doctor who was prosecuted in 2005 for the deaths of three patients but was acquitted. However, the General Medical Council then struck him off as a doctor in 2010 for ""hastening"" the death of 18 people. He admitted to a newspaper to have killed two of these individuals.[504]"
Marie Besnard,France,1927–1949,0,13,"Charged with the murders of 13 relatives with arsenic, all of whom had Besnard as their sole designated heir, but acquitted of all charges after three high-profile trials that lasted a decade.[505]"
Alfred Leonard Cline,United States,1930-1945,0,9,"Suspected of poisoning his eight wives and one man with sedative-laced buttermilk. Not enough evidence could be found to prosecute him for murder, but he was convicted of forging his victim's wills and died in prison in 1948."
Poison Ring,Roman Republic,331 BC,Unconfirmed,90+,"Several Roman men died in what was believed to be a plague, until a servant woman revealed that they had been poisoned by a conspiracy of matrons. Two patrician women arrested admitted to preparing concoctions but claimed that they were medicinal; when they drank it themselves to prove it, (at their own suggestion), they died immediately. A total of 170 matrons were arrested. According to Livy, ""their act was regarded as a prodigy, and suggested madness rather than felonious intent"".[4]"
Liu Pengli,Western Han,144–116 BC,Unconfirmed,100+,"Prince of Jidong during the reign of the Emperor Jing, his uncle. Helped by enslaved people, he attacked civilians in his lands during the night, killing over a hundred. Although the court advised the Emperor to execute him, the emperor only reduced him to a commoner and exiled him to Shangyong (modern Zhushan County, Hubei Province).[5]"
Anula of Anuradhapura,Anuradhapura Kingdom,50–47 BC,Unconfirmed,5,"Poisoned five husbands before holding the throne as queen regnant for five years, after which she was overthrown and burned alive.[6]"
Locusta,Roman Empire,54-69,Unconfirmed,3+,"Emperor Nero's chief poisoner, traditional history credits her with the murders via poison of Emperor Claudius and his son Britannicus, as well as a number of slaves and condemned criminals, and she had already murdered at least one other person and been imprisoned for it by 54 AD. Executed on the orders of Emperor Galba in 69 AD.[7]"
Dhu Shanatir,Himyarite Kingdom,5th century AD,Unconfirmed,100+,Lured young royal boys into his home and sodomized them before throwing them out of a window. Stabbed by his last intended victim.[8]
Alice Kyteler,Ireland,1302–1324,Unconfirmed,3–4,"""The Witch of Kilkenny"". Hiberno-Norman noblewoman prosecuted in the first modern witch trial in the British Isles, for the alleged poisoning of her four husbands, heresy and witchcraft. Fled to England, her ultimate fate unknown. Petronilla of Meath (her servant) was tortured and burned at the stake in her place.[9]"
Gilles de Rais,France,1432–1440,Unconfirmed,140+,French nobleman accused of torturing and murdering over 140 children.[10] Rais and several accomplices in the murders were hanged on 26 October 1440.[11]
Pierre Burgot and Michel Verdun,France,1521 and before,Unconfirmed,6,A pair of Frenchmen who confessed to killing and eating several children. They claimed to have committed the murders in wolf form after making a pact with a witch coven. Burned at the stake.[12]
Peter Stumpp,Holy Roman Empire,c. 1564–1589,Unconfirmed,16,"""The Werewolf of Bedburg"". Confessed under torture to murdering and cannibalizing 14 children, including his son, and two pregnant women. Broken on the wheel, beheaded and burned.[13]"
Peter Niers,Holy Roman Empire,c. 1566–1581,Unconfirmed,544,"Bandit leader who confessed under torture to killing 544 people, including the murder of 24 women and the use of their unborn children in Black Magic. Broken on the wheel and quartered alive.[14]"
Gilles Garnier,France,1572,Unconfirmed,4,"Hermit known as ""The Werewolf of Dole"". Confessed to strangling 4 children and eating their flesh.[15] Garnier was caught attacking a young boy and burned at the stake in 1573.[16]"
Elizabeth Báthory,Hungary,1585–1610,Unconfirmed,80–650[17],"Known as ""The Blood Countess""; tortured servant girls to death. Accomplices were executed and she was imprisoned until her death in 1614.[18]"
Björn Pétursson,Dano-Norwegian Iceland,1570–1596,Unconfirmed,9–18,"Called Axlar-Björn (""Shoulder-Bear""). Farmer that robbed and killed people who traversed his land. Beheaded.[19]"
Geordie Bourne,England,1597 and earlier,Unconfirmed,7,"Scottish bandit active in the East English March. Confessed to having killed seven Englishmen and ""lain with above forty men's wives, what in England, what in Scotland"". Executed by unknown means.[20]"
Nicolas Damont,France,1598,Unconfirmed,50,A French tailor accused of killing and eating 50 children in Châlons-en-Champagne whose remains had been found in his house. The brutality of the crimes and the accused's repeated psychotic episodes led authorities to accuse him of being a werewolf. Burned at the stake.[21]
Jean Grenier,France,1603,Unconfirmed,50,"A French youth who claimed to be a werewolf and confessed to having killed and eaten 50 children while in wolf form. Notably, he had not been tortured. Sentenced to confinement for life due to his youth and died in 1611.[22]"
Catalina de los Ríos y Lisperguer,Spanish Chile,c. 1630 – c. 1660,Unconfirmed,40,"Aristocrat nicknamed La Quintrala, possibly after the local red-flowered mistletoe (quintral) and because of her long red hair. Investigated for the deaths of 40 servants and enslaved people in her property, but never tried or convicted. Died of natural causes in 1665.[23]"
Aqua Tofana poison ring,Spanish Sicily  Papal States,1633–1651,Unconfirmed,100+,"A group of female poisoners active in Palermo, Rome, and Naples. Ring leader was claimed to be Giulia Tofana although the only evidence of a poisoning ring is the executions of Teofania di Adamo (1633) and Girolama Spara (1659), claimed, respectively, to be the mother and daughter of Giulia Tofana.[24]"
Jasper Hanebuth,Holy Roman Empire,1652 and earlier,Unconfirmed,19,"Former mercenary in the Swedish Army turned highwayman who was active in Eilenriede forest, then outside Hanover. Usually shot people from a distance, before knowing if they had any money. Confessed to the murder of 19 people including his ""robber bride"", and was broken on the wheel.[25]"
Catherine Monvoisin,France,1660s–1679,Unconfirmed,1000–2500[26],"Known as ""La Voisin"". Alleged sorceress, fortune-teller, cult leader and poisoner for hire who confessed under torture to the ritual murder of over a thousand infants in black masses.[26] Also tried to poison Louis XIV. She was convicted along with 35 others as part of the Affair of the Poisons, and burned at the stake in 1680."
